60141.xml 5.9585929497648005
59095.xml 5.613401713934085
70010.xml 5.550769512987886
75738.xml 4.244121483235655
67104.xml 4.192261266402171
40292.xml 3.9053201547947656
10706.xml 3.3508797117318165
58487.xml 1.8678900147070023
62215.xml 1.84143044626912
26144.xml 1.6623983402421403
40234.xml 1.608922154880607
26026.xml 1.5609822135095812
13519.xml 1.3507237976910649
15334.xml 1.3507237976910649
62401.xml 1.285261373858313
56741.xml 1.236764884879864
68825.xml 1.0352210074269168
5166.xml 0.9309848861666794
59087.xml 0.9036404137732804
50165.xml 0.6271694158895402
77429.xml 0.6085057097225652
24838.xml 0.6050442678645832
24839.xml 0.6015076250518548
78729.xml 0.5952970437850317
48267.xml 0.5945569417825649
49809.xml 0.5800347399217451
24747.xml 0.5481101587685545
59349.xml 0.2614941187116446
48284.xml 0
50177.xml 0
50190.xml 0
86898.xml 0
